¿Qué parte de la logística garantiza que los productos lleguen al cliente en el momento, cantidad y costo adecuados?;La distribución.
Menciona tres actividades que incluye la gestión de distribución.;Transporte, almacenamiento y manejo de inventarios.
Conjunto de actividades necesarias para poner un producto al alcance del consumidor meta y facilitar su compra.;Canales de distribución.
Los canales de distribución trasladan los productos desde su punto de _____ hasta los lugares de consumo.;concepción, extracción o producción
¿Cuáles son los dos grandes tipos de funciones en un canal de distribución?;Funciones contactuales (transaccionales) y funciones logísticas.
Definición: Funciones contactuales;Operaciones comerciales para llevar a buen término el cierre de transacciones entre comprador y vendedor.
Definición: Funciones logísticas;Actividades referidas al movimiento físico de la mercadería y la cadena de suministro.
¿Qué elementos conforman el 'valor agregado' generado por la combinación de funciones de distribución?;Tiempo, lugar y forma.
En el ejemplo del diario Clarín, ¿qué valor se pierde si el producto llega tarde por la mañana?;El valor agregado de tiempo.
En el ejemplo del diario, ¿qué sucede si el ejemplar se entrega mojado por la lluvia?;Falla el valor agregado de forma.
¿Cómo afecta al intercambio el incumplimiento de una condición del valor agregado (tiempo, lugar o forma)?;Afecta el nivel de servicio y la satisfacción del cliente, aunque el intercambio aún pueda concretarse.
La optimización de la relación costo-servicio en la distribución genera _____ difíciles de imitar.;ventajas competitivas
¿Cuál es el objetivo principal de cada empresa productora participante en la cadena de suministro?;Optimizar el servicio prestado al menor costo posible buscando caminos alternativos.
¿Qué tendencia muestran las 'viejas estructuras de canales convencionales' en el contexto actual?;Tienden a desaparecer para dar lugar a nuevas formas de asociación o integración.
Además de satisfacer la demanda, los canales de distribución deben _____ a través de actividades promocionales.;estimularla
En el caso de Coca-Cola, ¿qué función cumplen los comercios minoristas además de asegurar disponibilidad?;Realizan promociones y exhibiciones que incentivan al consumidor a comprar.
¿Por qué las firmas diversifican sus sistemas de distribución alcanzando el mercado por múltiples medios?;Para llegar a distintos tipos de clientes y adaptarse a sus formas de compra con mayor eficiencia.
Concepto: Cadena de suministro;Conjunto de procesos (producción, transporte, almacenamiento) y actores que permiten que un producto llegue al consumidor final.
¿A qué mezcla de variables (Marketing Mix) pertenecen los canales de distribución?;A la estrategia comercial o de marketing, junto con precio, producto y promoción.
Desde la perspectiva del productor, el canal de distribución es un sistema interorganizacional, _____ y logístico.;contractual
Concepto Clave 1: Interorganizacional;Refiere a la participación de firmas externas a la empresa y de sus distintos sectores internos.
Concepto Clave 2: Sistema;Conjunto de nodos donde se establecen relaciones, conductas, alianzas y conflictos entre las partes.
Concepto Clave 3: Contractual;Implica que las empresas participan en funciones de transacción y acuerdos de compra-venta según se mueve el producto.
Concepto Clave 4: Logística;Compromiso de asegurar que la mercadería circule en tiempo, lugar y forma adecuados mediante transporte y almacenamiento.
Concepto Clave 5: Objetivos de distribución;Logros específicos que la empresa busca, como resultados financieros, volumen de ventas o participación de mercado.
¿Cuáles son los dos grandes aspectos de la Gestión Comercial en la distribución?;Gestión estratégica comercial y gestión logística de los canales.
¿Qué componente de la gestión comercial es responsable de definir el tipo de camino a seguir y los participantes?;El componente estratégico comercial.
¿Qué tarea recae sobre el componente logístico o de distribución física?;Asegurar que cada participante cuente con la mercadería en el momento, lugar y forma necesarios.
Menciona tres variables del Micro ambiente que afectan a la gerencia de distribución.;Intermediarios, proveedores y competencia.
Menciona tres variables del Macro ambiente en el entorno de la logística.;Económicas, tecnológicas y político-legales.
¿Cómo influye el desarrollo de una nueva tecnología en las materias primas según el material?;Puede significar la obsolescencia de una materia prima fundamental para el producto bruto de un país.
¿Qué efecto tiene la globalización en la relación de poder de los mercados?;Favorece las fusiones y adquisiciones en grandes empresas productoras (ej. farmacias y petroleras).
¿Cuál es la tendencia principal respecto a los mayoristas en los mercados actuales?;La desaparición de intermediarios que no reaccionaron ante la pérdida de su clientela minorista.
En marketing, ¿en qué se diferencia el enfoque del fabricante del enfoque del minorista?;El fabricante busca incentivar deseos, mientras que el minorista busca atraer al consumo primero (marketing de entrada/salida).
La gestión estratégica de los canales implica que elegir cómo distribuir es una decisión _____ para competir mejor.;clave
¿Por qué las decisiones de productores, mayor
